6.69,"[""Increased  Berserker's Blood attack speed bonus from 2/4/6/8 to 3/6/9/12.""]"
6.67,['Reduced  Inner Vitality heal interval from 1 to 0.1 seconds (same overall heal).']
6.64,['Rescaled  Burning Spear damage from 6/8/10/12 to 4/8/12/16.']
6.63,"[""Removed the cap on  Berserker's Blood (the cap was 7 stacks)."", 'Fixed lags upon picking Huskar.']"
6.60,"['Removed the cap on  Burning Spear (the cap was 5 stacks).', ""Added  Aghanim's Scepter upgrade for Huskar: Increases  Life Break damage from 50% to 65% and reduces cooldown from 45/30/15 to 24/16/8."", "" Life Break is now properly blocked by  Linken's Sphere.""]"
6.58,[' Life Break now slows spell immune units (debuff is still dispelled by spell immunity).']
6.57,"['Increased damage to target from 40% to 50% of its current health.', 'Reduced cooldown from 45 on each level to 45/30/15.', ' Life Break\nIncreased damage to target from 40% to 50% of its current health.\nReduced cooldown from 45 on each level to 45/30/15.']"
6.54,['Decreased  Inner Vitality cooldown from 30 to 25.']
6.52,"['Increased attack range from 350 to 400.', ""Improved  Huskar's attack animation from 0.5/0.5 to 0.4/0.5."", ""Added a visual effect to  Berserker's Blood when reaching high stacks.""]"
6.44b,['Increased  Inner Vitality mana cost from 50/90/130/170 to 170 on each level.']
6.44,['Created.']
